"ID","INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","UOR_DESC","LEOKA_APPLIES","OFFICER_KILLED","TYPE_OF_ASSIGNMENT","TYPE_OF_ACTIVITY","OFFENSE_CITY","OFFENSE_ZIP"
"3309","80-12-021235","2012-03-18 21:17:00","2012-03-18 21:17:00","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","521","RESIDENCE / HOME","100 BLOCK STEVENSON AVE                                     ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40206"
"3310","80-12-021235","2012-03-18 21:17:00","2012-03-18 21:17:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","521","RESIDENCE / HOME","100 BLOCK STEVENSON AVE                                     ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40206"
"3311","80-12-021235","2012-03-18 21:17:00","2012-03-18 21:17:00","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","521","OTHER RESIDENCE (APARTMENT/CONDO)","100 BLOCK STEVENSON AVE                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40206"
"3312","80-16-096897","2016-11-11 22:14:00","2016-11-11 03:41:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","225","RESIDENCE / HOME","1800 BLOCK W HILL ST                                        ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40210"
"3313","80-16-096897","2016-11-11 22:14:00","2016-11-11 03:41:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","225","RESIDENCE / HOME","1800 BLOCK W HILL ST                                        ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40210"
"3314","80-11-039028","2011-05-22 17:06:00","2011-05-22 14:25:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","322","HIGHWAY / ROAD / ALLEY","1100 BLOCK ROYAL GARDENS CT                                 ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40214"
"3315","80-15-103497","2015-12-20 00:30:00","2015-12-20 00:10:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","OTHER RESIDENCE (APARTMENT/CONDO)","1200 BLOCK W MUHAMMAD ALI BLVD                              ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40203"
"3316","80-15-103497","2015-12-20 00:30:00","2015-12-20 00:10:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","OTHER RESIDENCE (APARTMENT/CONDO)","1200 BLOCK W MUHAMMAD ALI BLVD                              ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40203"
"3317","80-15-103497","2015-12-20 00:30:00","2015-12-20 00:10:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","123","OTHER RESIDENCE (APARTMENT/CONDO)","1200 BLOCK W MUHAMMAD ALI BLVD                              ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40203"
"3318","80-15-103497","2015-12-20 00:30:00","2015-12-20 00:10:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","RESIDENCE / HOME","1200 BLOCK W MUHAMMAD ALI BLVD                              ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40203"
"3319","80-15-103497","2015-12-20 00:30:00","2015-12-20 00:10:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","RESIDENCE / HOME","1200 BLOCK W MUHAMMAD ALI BLVD                              ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40203"
"3320","80-15-103497","2015-12-20 00:30:00","2015-12-20 00:10:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","123","OTHER RESIDENCE (APARTMENT/CONDO)","1200 BLOCK W MUHAMMAD ALI BLVD                              ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40203"
"3321","80-15-094762","2015-11-21 02:53:00","2015-11-21 02:53:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","OTHER RESIDENCE (APARTMENT/CONDO)","900 BLOCK S 6TH ST                                          ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40203"
"3322","80-15-094762","2015-11-21 02:53:00","2015-11-21 02:53:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","OTHER RESIDENCE (APARTMENT/CONDO)","900 BLOCK S 6TH ST                                          ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40203"
"3323","80-15-094762","2015-11-21 02:53:00","2015-11-21 02:53:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","OTHER RESIDENCE (APARTMENT/CONDO)","900 BLOCK S 6TH ST                                          ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40203"
"3324","80-15-096834","2015-11-28 17:04:00","2015-11-28 17:04:00","ASSAULT","13B","PART II","COMPLETED","8TH DIVISION","824","RESIDENCE / HOME","100 BLOCK BLUE FIELDS RD                                    ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40223"
"3325","80-15-096834","2015-11-28 17:04:00","2015-11-28 17:04:00","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","824","RESIDENCE / HOME","100 BLOCK BLUE FIELDS RD                                    ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40223"
"3326","80-13-002771","2013-01-12 06:12:00","2013-01-12 06:12:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","521","PARKING LOT / GARAGE","1000 BLOCK ZORN AVE                                         ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40207"
"3327","80-13-005533","2011-03-21 16:48:00","2011-03-21 16:48:00","ASSAULT","13C","PART II","COMPLETED","3RD DIVISION","315","HIGHWAY / ROAD / ALLEY","7500 BLOCK SHERRARD DR                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LVIL","40258"
"3328","80-12-012152","2012-02-14 19:24:00","2012-02-14 19:24:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 24TH ST / W CHESTNUT ST                                   ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40211"
"3329","80-13-014927","2013-03-01 19:09:00","2013-03-01 19:00:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","RESIDENCE / HOME","1200 BLOCK S 4TH ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"3330","80-13-014927","2013-03-01 19:09:00","2013-03-01 19:00:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","RESIDENCE / HOME","1200 BLOCK S 4TH ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"3331","80-13-015235","2013-03-03 02:01:00","2013-03-03 02:00:00","ASSAULT","13B","PART II","COMPLETED","8TH DIVISION","811","BAR / NIGHT CLUB","2700 BLOCK CHAMBERLAIN LN                                   ","ASSAULT - 3RD DEGREE (OFFICER TRANSPORTING INMATES)","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","ALL OTHER","LOUISVILLE","40245"
"3332","80-13-016460","2013-03-09 09:00:00","2013-03-08 13:30:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","111","RESIDENCE / HOME","2500 BLOCK ST CECILIA ST                                    ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40212"
"3333","80-13-016460","2013-03-09 09:00:00","2013-03-08 13:30:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","111","RESIDENCE / HOME","2500 BLOCK ST CECILIA ST                                    ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40212"
"3334","80-13-016528","2013-03-08 14:30:00","2013-03-08 14:30:00","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","712","HIGHWAY / ROAD / ALLEY","I265S AT BARDSTOWN RD                                       ","WANTON ENDANGERMENT-2ND DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40291"
"3335","80-13-017383","2013-03-10 07:25:00","2013-03-10 05:59:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","JAIL / PENITENTARY","S 13TH ST / W MUHAMMAD ALI BLVD                             ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"3336","80-13-017663","2013-02-06 04:11:00","2013-02-06 03:47:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","135","HIGHWAY / ROAD / ALLEY","S 1ST ST / E JEFFERSON ST                                   ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40202"
"3337","80-13-017817","2013-03-09 03:23:00","2013-03-09 03:11:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","HIGHWAY / ROAD / ALLEY","400 BLOCK S 4TH ST                                          ","MENACING","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ALONE","ALL OTHER","LOUISVILLE","40202"
"3338","80-13-018308","2013-03-15 23:44:00","2013-03-15 22:50:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 32ND ST / W MUHAMMAD ALI BLVD                             ","WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ALL OTHER","LOUISVILLE","40212"
"3339","80-13-018308","2013-03-15 23:44:00","2013-03-15 22:50:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 32ND ST / W MUHAMMAD ALI BLVD                             ","WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ALL OTHER","LOUISVILLE","40212"
"3340","80-13-022661","2013-04-01 18:56:00","2013-04-01 17:45:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","134","HIGHWAY / ROAD / ALLEY","RIVER RD / E WITHERSPOON ST                                 ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40206"
"3341","80-13-024556","2013-04-07 06:05:00","2013-04-07 04:04:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","BAR / NIGHT CLUB","900 BLOCK BAXTER AVE                                        ","TERRORISTIC THREATENING 2ND DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40204"
"3342","80-13-023007","2013-04-01 03:59:00","2013-04-01 02:30:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","S PRESTON ST / E ST CATHERINE ST                            ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"3343","80-13-022407","2013-03-31 20:05:00","2013-03-31 20:00:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 26TH ST / W BROADWAY                                      ","WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40211"
"3344","80-13-024168","2013-04-07 17:06:00","2013-04-07 17:00:00","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","724","HIGHWAY / ROAD / ALLEY","3700 BLOCK VANGUARD DR                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40229"
"3345","80-13-024168","2013-04-07 17:06:00","2013-04-07 17:00:00","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","724","HIGHWAY / ROAD / ALLEY","3700 BLOCK VANGUARD DR                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40229"
"3346","80-13-025467","2013-04-12 11:39:00","2013-04-02 20:15:00","ASSAULT","13C","PART II","COMPLETED","3RD DIVISION","315","PARKING LOT / GARAGE","8500 BLOCK TERRY RD                                         ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40258"
"3347","80-13-025467","2013-04-12 11:39:00","2013-04-02 20:15:00","ASSAULT","13C","PART II","COMPLETED","3RD DIVISION","315","PARKING LOT / GARAGE","8500 BLOCK TERRY RD                                         ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40258"
"3348","80-13-025390","2013-04-11 19:27:00","2013-04-11 19:27:00","ASSAULT","13B","PART II","COMPLETED","6TH DIVISION","624","RESIDENCE / HOME","200 BLOCK ELDORADO AVE                                      ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ATTEMPTING OTHER ARREST","LOUISVILLE","40218"
"3349","80-15-096834","2015-11-28 17:04:00","2015-11-28 17:04:00","ASSAULT","13B","PART II","COMPLETED","8TH DIVISION","824","RESIDENCE / HOME","100 BLOCK BLUE FIELDS RD                                    ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40223"
"3350","80-15-085770","2015-10-23 14:24:00","2015-10-23 14:20:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","OTHER RESIDENCE (APARTMENT/CONDO)","500 BLOCK MARY J ROBB CT                                    ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"3351","80-15-085770","2015-10-23 14:24:00","2015-10-23 14:20:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","123","OTHER RESIDENCE (APARTMENT/CONDO)","500 BLOCK MARY J ROBB CT                                    ","ASSAULT - 2ND DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"3352","80-15-024011","2015-04-03 12:27:00","2015-04-03 12:20:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","2500 BLOCK W BROADWAY                                       ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40211"
"3353","80-15-024011","2015-04-03 12:27:00","2015-04-03 12:20:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","COMMERCIAL / OFFICE BUILDING","2500 BLOCK W BROADWAY                                       ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40211"
"3354","80-15-024011","2015-04-03 12:27:00","2015-04-03 12:20:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","2500 BLOCK W BROADWAY                                       ","ASSAULT 3RD-DEPT SOCIAL SERVICES WORKER","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40211"
"3355","80-18-070658","2018-09-11 00:57:00","2018-09-11 00:57:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","435","RESIDENCE / HOME","4300 BLOCK MALCOLM AVE                                      ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40215"
"3356","80-18-070658","2018-09-11 00:57:00","2018-09-11 00:57:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","435","RESIDENCE / HOME","4300 BLOCK MALCOLM AVE                                      ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40215"
"3357","80-18-070658","2018-09-11 00:57:00","2018-09-11 00:57:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","435","RESIDENCE / HOME","4300 BLOCK MALCOLM AVE                                      ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40215"
"3358","80-18-070658","2018-09-11 00:57:00","2018-09-11 00:57:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","435","RESIDENCE / HOME","4300 BLOCK MALCOLM AVE                                      ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40215"
"3359","80-18-070658","2018-09-11 00:57:00","2018-09-11 00:57:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","435","RESIDENCE / HOME","4300 BLOCK MALCOLM AVE                                      ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40215"
"3360","80-18-070658","2018-09-11 00:57:00","2018-09-11 00:57:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","435","RESIDENCE / HOME","4300 BLOCK MALCOLM AVE                                      ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40215"
"3361","80-18-082260","2018-10-20 00:33:00","2018-10-20 00:33:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","7TH STREET RD / BERRY BLVD                                  ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","SHIVELY","40216"
"3362","80-18-082260","2018-10-20 00:33:00","2018-10-20 00:33:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","7TH STREET RD / BERRY BLVD                                  ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","SHIVELY","40216"
"3363","80-18-082260","2018-10-20 00:33:00","2018-10-20 00:33:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","7TH STREET RD / BERRY BLVD                                  ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","SHIVELY","40216"
"3364","80-16-010176","2016-02-02 21:48:00","2016-02-02 21:48:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","236","RESIDENCE / HOME","4300 BLOCK CHARLOTTE ANN DR                                 ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40216"
"3365","80-16-010176","2016-02-02 21:48:00","2016-02-02 21:48:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","236","RESIDENCE / HOME","4300 BLOCK CHARLOTTE ANN DR                                 ","WANTON ENDANGERMENT-2ND DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40216"
"3366","80-16-010176","2016-02-02 21:48:00","2016-02-02 21:48:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","236","RESIDENCE / HOME","4300 BLOCK CHARLOTTE ANN DR                                 ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40216"
"3367","80-16-010176","2016-02-02 21:48:00","2016-02-02 21:48:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","236","RESIDENCE / HOME","4300 BLOCK CHARLOTTE ANN DR                                 ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40216"
"3368","80-17-028603","2017-04-11 13:21:00","2017-04-11 13:20:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","424","RESIDENCE / HOME","2700 BLOCK S 4TH ST                                         ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40208"
"3369","80-17-028603","2017-04-11 13:21:00","2017-04-11 13:20:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","424","RESIDENCE / HOME","2700 BLOCK S 4TH ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40208"
"3370","80-18-030486","2018-04-24 21:30:00","2018-04-24 21:30:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","S JACKSON ST / LAMPTON ST                                   ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"3371","80-13-025301","2013-04-11 18:37:00","2013-04-11 15:39:00","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","525","HIGHWAY / ROAD / ALLEY","3700 BLOCK LEXINGTON RD                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40207"
"3372","80-13-025361","2013-04-11 23:00:00","2013-04-11 19:00:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","212","RESIDENCE / HOME","3500 BLOCK W BROADWAY                                       ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40211"
"3373","80-13-022960","2013-04-02 23:20:00","2013-04-02 23:02:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","RESTAURANT","BARDSTOWN RD / EASTERN PKY                                  ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40204"
"3374","80-13-027880","2013-04-20 22:36:00","2013-04-20 22:25:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","135","CONVENIENCE STORE","300 BLOCK S 1ST ST                                          ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"3375","80-13-027880","2013-04-20 22:36:00","2013-04-20 22:25:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","135","CONVENIENCE STORE","300 BLOCK S 1ST ST                                          ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
